H [m];qc [MPa];fs [MPa];u2 [MPa];Incl. [Deg];t [s];v [cm/s];Rf [%];Uo [MPa];qt [MPa];ft [MPa];sigmaVo [MPa];sigma'Vo [MPa];Qt [];Bq [];Rf(qc) [%];Rfd [%];soil [];UW [kN/m3];qc [MPa];fs [MPa];u2 [MPa]
3.60;1.587;0.07;0.0475;4.7;159.800;2.500;4.169;0.000;1.587;0.066;0.066;0.000;0.000;0.0000;4.169;3.997;3;17.50;1.598;0.06;0.0395
3.61;1.564;0.07;0.0498;4.7;160.200;2.500;4.228;0.000;1.564;0.066;0.066;0.000;0.000;0.0000;4.228;4.077;3;17.50;1.577;0.06;0.0430
3.62;1.540;0.07;0.0526;4.7;160.600;2.500;4.310;0.000;1.540;0.066;0.066;0.000;0.000;0.0000;4.310;4.194;3;17.50;1.542;0.06;0.0522
3.63;1.518;0.07;0.0554;4.8;161.010;2.439;4.410;0.000;1.518;0.067;0.066;0.000;0.000;0.0000;4.410;4.424;3;17.50;1.490;0.07;0.0653
3.64;1.498;0.07;0.0580;4.8;161.400;2.564;4.517;0.000;1.498;0.068;0.067;0.000;0.000;0.0000;4.517;4.557;3;17.50;1.473;0.07;0.0657
3.65;1.482;0.07;0.0601;4.7;161.810;2.439;4.621;0.000;1.482;0.068;0.067;0.000;0.000;0.0000;4.621;4.647;3;17.50;1.460;0.07;0.0653
3.66;1.470;0.07;0.0615;4.8;162.200;2.564;4.714;0.000;1.470;0.069;0.067;0.000;0.000;0.0000;4.714;4.704;3;17.50;1.443;0.07;0.0643
3.67;1.463;0.07;0.0623;4.8;162.600;2.500;4.787;0.000;1.463;0.070;0.067;0.000;0.000;0.0000;4.787;4.784;3;17.50;1.434;0.07;0.0638
3.68;1.462;0.07;0.0626;4.7;163.000;2.500;4.832;0.000;1.462;0.071;0.067;0.000;0.000;0.0000;4.832;4.884;3;17.50;1.426;0.07;0.0635
3.69;1.467;0.07;0.0624;4.7;163.400;2.500;4.847;0.000;1.467;0.071;0.067;0.000;0.000;0.0000;4.847;4.904;3;17.50;1.426;0.07;0.0643
3.70;1.476;0.07;0.0620;4.7;163.800;2.500;4.829;0.000;1.476;0.071;0.068;0.000;0.000;0.0000;4.829;4.946;3;17.50;1.443;0.07;0.0627
3.71;1.490;0.07;0.0615;4.7;164.190;2.564;4.780;0.000;1.490;0.071;0.068;0.000;0.000;0.0000;4.780;4.940;3;17.50;1.473;0.07;0.0605
3.72;1.507;0.07;0.0609;4.8;164.570;2.632;4.703;0.000;1.507;0.071;0.068;0.000;0.000;0.0000;4.703;4.831;3;17.50;1.503;0.07;0.0599
3.73;1.526;0.07;0.0603;4.8;164.980;2.439;4.607;0.000;1.526;0.070;0.068;0.000;0.000;0.0000;4.607;4.735;3;17.50;1.529;0.07;0.0596
3.74;1.546;0.07;0.0597;4.8;165.380;2.500;4.499;0.000;1.546;0.070;0.068;0.000;0.000;0.0000;4.499;4.582;3;17.50;1.551;0.07;0.0600
3.75;1.566;0.07;0.0591;4.8;165.780;2.500;4.388;0.000;1.566;0.069;0.069;0.000;0.000;0.0000;4.388;4.355;3;17.50;1.581;0.07;0.0601
3.76;1.585;0.07;0.0586;4.7;166.180;2.500;4.281;0.000;1.585;0.068;0.069;0.000;0.000;0.0000;4.281;4.173;3;17.50;1.594;0.07;0.0588
3.77;1.602;0.07;0.0582;4.8;166.600;2.381;4.186;0.000;1.602;0.067;0.069;0.000;0.000;0.0000;4.186;4.093;3;17.50;1.611;0.07;0.0584
3.78;1.617;0.07;0.0580;4.8;167.020;2.381;4.104;0.000;1.617;0.066;0.069;0.000;0.000;0.0000;4.104;4.045;3;17.50;1.628;0.07;0.0576
3.79;1.630;0.07;0.0582;4.8;167.420;2.500;4.037;0.000;1.630;0.066;0.069;0.000;0.000;0.0000;4.037;4.019;4;18.00;1.641;0.07;0.0547
3.80;1.642;0.07;0.0588;4.8;167.820;2.500;3.981;0.000;1.642;0.065;0.069;0.000;0.000;0.0000;3.981;3.953;4;18.00;1.663;0.06;0.0538
3.81;1.654;0.07;0.0596;4.8;168.220;2.500;3.931;0.000;1.654;0.065;0.070;0.000;0.000;0.0000;3.931;3.881;4;18.00;1.671;0.06;0.0516
3.82;1.667;0.06;0.0608;4.8;168.610;2.564;3.881;0.000;1.667;0.065;0.070;0.000;0.000;0.0000;3.881;3.853;4;18.00;1.654;0.06;0.0587
3.83;1.683;0.06;0.0621;4.7;169.010;2.500;3.827;0.000;1.683;0.064;0.070;0.000;0.000;0.0000;3.827;3.894;4;18.00;1.633;0.07;0.0697
3.84;1.702;0.06;0.0634;4.8;169.400;2.564;3.769;0.000;1.702;0.064;0.070;0.000;0.000;0.0000;3.769;3.863;4;18.00;1.637;0.07;0.0692
3.85;1.723;0.06;0.0647;4.8;169.800;2.500;3.707;0.000;1.723;0.064;0.070;0.000;0.000;0.0000;3.707;3.734;4;18.00;1.684;0.06;0.0644
3.86;1.746;0.06;0.0658;4.8;170.200;2.500;3.648;0.000;1.746;0.064;0.070;0.000;0.000;0.0000;3.648;3.595;4;18.00;1.753;0.06;0.0609
3.87;1.768;0.06;0.0668;4.7;170.610;2.439;3.600;0.000;1.768;0.064;0.071;0.000;0.000;0.0000;3.600;3.447;4;18.00;1.809;0.06;0.0689
3.88;1.789;0.06;0.0676;4.8;171.010;2.500;3.570;0.000;1.789;0.064;0.071;0.000;0.000;0.0000;3.570;3.398;4;18.00;1.826;0.06;0.0700
3.89;1.807;0.06;0.0684;4.7;171.410;2.500;3.563;0.000;1.807;0.064;0.071;0.000;0.000;0.0000;3.563;3.471;4;18.00;1.852;0.06;0.0700
3.90;1.821;0.07;0.0693;4.7;171.810;2.500;3.580;0.000;1.821;0.065;0.071;0.000;0.000;0.0000;3.580;3.501;4;18.00;1.857;0.06;0.0690
3.91;1.830;0.07;0.0703;4.8;172.210;2.500;3.620;0.000;1.830;0.066;0.071;0.000;0.000;0.0000;3.620;3.536;4;18.00;1.852;0.06;0.0683
3.92;1.837;0.07;0.0715;4.8;172.610;2.500;3.678;0.000;1.837;0.068;0.072;0.000;0.000;0.0000;3.678;3.687;4;18.00;1.844;0.07;0.0672
3.93;1.841;0.07;0.0730;4.8;173.010;2.500;3.747;0.000;1.841;0.069;0.072;0.000;0.000;0.0000;3.747;3.764;4;18.00;1.835;0.07;0.0682
3.94;1.846;0.07;0.0746;4.8;173.410;2.500;3.819;0.000;1.846;0.070;0.072;0.000;0.000;0.0000;3.819;3.763;4;18.00;1.826;0.07;0.0725
3.95;1.850;0.07;0.0761;4.8;173.820;2.439;3.887;0.000;1.850;0.072;0.072;0.000;0.000;0.0000;3.887;3.858;4;18.00;1.818;0.07;0.0777
3.96;1.853;0.07;0.0774;4.8;174.220;2.500;3.944;0.000;1.853;0.073;0.072;0.000;0.000;0.0000;3.944;3.959;4;18.00;1.839;0.07;0.0835
3.97;1.856;0.07;0.0781;4.8;174.620;2.500;3.983;0.000;1.856;0.074;0.072;0.000;0.000;0.0000;3.983;4.146;4;18.00;1.857;0.08;0.0833
3.98;1.856;0.07;0.0781;4.8;175.000;2.632;4.001;0.000;1.856;0.074;0.073;0.000;0.000;0.0000;4.001;4.294;4;18.00;1.887;0.08;0.0827
3.99;1.851;0.07;0.0772;4.8;175.390;2.564;3.996;0.000;1.851;0.074;0.073;0.000;0.000;0.0000;3.996;4.296;4;18.00;1.921;0.08;0.0806
4.00;1.841;0.07;0.0755;4.8;175.780;2.564;3.966;0.000;1.841;0.073;0.073;0.000;0.000;0.0000;3.966;4.200;4;18.00;1.913;0.08;0.0870
4.01;1.825;0.07;0.0731;4.8;176.160;2.632;3.912;0.000;1.825;0.071;0.073;0.000;0.000;0.0000;3.912;4.200;4;18.00;1.869;0.08;0.0877
4.02;1.804;0.07;0.0705;4.7;176.550;2.564;3.837;0.000;1.804;0.069;0.073;0.000;0.000;0.0000;3.837;4.027;4;18.00;1.818;0.07;0.0614
4.03;1.779;0.07;0.0678;4.7;176.950;2.500;3.746;0.000;1.779;0.067;0.074;0.000;0.000;0.0000;3.746;3.761;4;18.00;1.775;0.07;0.0586
4.04;1.752;0.06;0.0655;4.8;177.350;2.500;3.644;0.000;1.752;0.064;0.074;0.000;0.000;0.0000;3.644;3.625;4;18.00;1.736;0.06;0.0599
4.05;1.724;0.06;0.0636;4.8;177.750;2.500;3.541;0.000;1.724;0.061;0.074;0.000;0.000;0.0000;3.541;3.428;4;18.00;1.706;0.06;0.0550
4.06;1.698;0.06;0.0623;4.8;178.150;2.500;3.446;0.000;1.698;0.059;0.074;0.000;0.000;0.0000;3.446;3.222;4;18.00;1.689;0.05;0.0564
4.07;1.673;0.06;0.0613;4.7;178.540;2.564;3.369;0.000;1.673;0.056;0.074;0.000;0.000;0.0000;3.369;3.143;4;18.00;1.650;0.05;0.0615
4.08;1.650;0.05;0.0604;4.7;178.930;2.564;3.318;0.000;1.650;0.055;0.074;0.000;0.000;0.0000;3.318;3.071;4;18.00;1.637;0.05;0.0695
4.09;1.629;0.05;0.0596;4.7;179.330;2.500;3.298;0.000;1.629;0.054;0.075;0.000;0.000;0.0000;3.298;3.099;4;18.00;1.620;0.05;0.0669
4.10;1.610;0.05;0.0587;4.7;179.720;2.564;3.313;0.000;1.610;0.053;0.075;0.000;0.000;0.0000;3.313;3.102;4;18.00;1.611;0.05;0.0604
4.11;1.592;0.05;0.0577;4.8;180.120;2.500;3.365;0.000;1.592;0.054;0.075;0.000;0.000;0.0000;3.365;3.173;4;18.00;1.602;0.05;0.0559
4.12;1.574;0.05;0.0568;4.8;180.510;2.564;3.450;0.000;1.574;0.054;0.075;0.000;0.000;0.0000;3.450;3.337;4;18.00;1.581;0.05;0.0516
4.13;1.557;0.06;0.0561;4.7;180.920;2.439;3.565;0.000;1.557;0.056;0.075;0.000;0.000;0.0000;3.565;3.445;4;18.00;1.551;0.05;0.0516
4.14;1.541;0.06;0.0558;4.7;181.320;2.500;3.704;0.000;1.541;0.057;0.076;0.000;0.000;0.0000;3.704;3.571;4;18.00;1.525;0.06;0.0536
4.15;1.525;0.06;0.0558;4.8;181.720;2.500;3.858;0.000;1.525;0.059;0.076;0.000;0.000;0.0000;3.858;3.753;4;18.00;1.521;0.06;0.0517
4.16;1.510;0.06;0.0562;4.8;182.120;2.500;4.019;0.000;1.510;0.061;0.076;0.000;0.000;0.0000;4.019;4.091;3;17.50;1.508;0.06;0.0525
4.17;1.495;0.06;0.0567;4.7;182.520;2.500;4.178;0.000;1.495;0.062;0.076;0.000;0.000;0.0000;4.178;4.289;3;17.50;1.490;0.06;0.0587
4.18;1.480;0.06;0.0572;4.7;182.930;2.439;4.328;0.000;1.480;0.064;0.076;0.000;0.000;0.0000;4.328;4.468;3;17.50;1.482;0.07;0.0608
4.19;1.465;0.07;0.0576;4.7;183.330;2.500;4.463;0.000;1.465;0.065;0.076;0.000;0.000;0.0000;4.463;4.667;3;17.50;1.473;0.07;0.0606
4.20;1.449;0.07;0.0578;4.7;183.730;2.500;4.582;0.000;1.449;0.066;0.077;0.000;0.000;0.0000;4.582;4.773;3;17.50;1.460;0.07;0.0606
4.21;1.432;0.07;0.0576;4.7;184.140;2.439;4.684;0.000;1.432;0.067;0.077;0.000;0.000;0.0000;4.684;4.797;3;17.50;1.434;0.07;0.0605
4.22;1.414;0.07;0.0571;4.7;184.540;2.500;4.770;0.000;1.414;0.067;0.077;0.000;0.000;0.0000;4.770;4.841;3;17.50;1.417;0.07;0.0577
4.23;1.395;0.07;0.0563;4.7;184.940;2.500;4.844;0.000;1.395;0.068;0.077;0.000;0.000;0.0000;4.844;4.869;3;17.50;1.409;0.07;0.0551
4.24;1.374;0.07;0.0552;4.7;185.340;2.500;4.908;0.000;1.374;0.067;0.077;0.000;0.000;0.0000;4.908;4.943;3;17.50;1.387;0.07;0.0549
4.25;1.352;0.07;0.0539;4.8;185.740;2.500;4.962;0.000;1.352;0.067;0.077;0.000;0.000;0.0000;4.962;4.996;3;17.50;1.365;0.07;0.0553
4.26;1.331;0.07;0.0523;4.7;186.150;2.439;5.006;0.000;1.331;0.067;0.078;0.000;0.000;0.0000;5.006;5.123;3;17.50;1.322;0.07;0.0542
4.27;1.310;0.07;0.0506;4.7;186.550;2.500;5.039;0.000;1.310;0.066;0.078;0.000;0.000;0.0000;5.039;5.176;3;17.50;1.305;0.07;0.0538
4.28;1.291;0.07;0.0488;4.7;186.950;2.500;5.060;0.000;1.291;0.065;0.078;0.000;0.000;0.0000;5.060;5.092;3;17.50;1.279;0.07;0.0523
4.29;1.276;0.06;0.0472;4.7;187.340;2.564;5.067;0.000;1.276;0.065;0.078;0.000;0.000;0.0000;5.067;5.168;3;17.50;1.258;0.07;0.0510
4.30;1.265;0.06;0.0459;4.7;188.550;0.826;5.059;0.000;1.265;0.064;0.078;0.000;0.000;0.0000;5.059;4.692;3;17.50;1.198;0.06;0.0352
4.31;1.259;0.06;0.0451;4.7;189.140;1.695;5.038;0.000;1.259;0.063;0.078;0.000;0.000;0.0000;5.038;4.897;3;17.50;1.228;0.06;0.0361
4.32;1.258;0.06;0.0449;4.7;189.670;1.887;5.002;0.000;1.258;0.063;0.079;0.000;0.000;0.0000;5.002;4.992;3;17.50;1.232;0.06;0.0384
4.33;1.262;0.06;0.0453;4.7;190.140;2.128;4.951;0.000;1.262;0.062;0.079;0.000;0.000;0.0000;4.951;4.975;3;17.50;1.241;0.06;0.0407
4.34;1.271;0.06;0.0462;4.7;190.590;2.222;4.885;0.000;1.271;0.062;0.079;0.000;0.000;0.0000;4.885;4.913;3;17.50;1.266;0.06;0.0467
4.35;1.283;0.06;0.0473;4.7;191.030;2.273;4.805;0.000;1.283;0.062;0.079;0.000;0.000;0.0000;4.805;4.830;3;17.50;1.258;0.06;0.0481
4.36;1.298;0.06;0.0483;4.7;191.450;2.381;4.710;0.000;1.298;0.061;0.079;0.000;0.000;0.0000;4.710;4.786;3;17.50;1.275;0.06;0.0528
4.37;1.315;0.06;0.0489;4.7;191.870;2.381;4.604;0.000;1.315;0.061;0.080;0.000;0.000;0.0000;4.604;4.706;3;17.50;1.305;0.06;0.0551
4.38;1.331;0.06;0.0489;4.7;192.290;2.381;4.491;0.000;1.331;0.060;0.080;0.000;0.000;0.0000;4.491;4.598;3;17.50;1.348;0.06;0.0553
4.39;1.346;0.06;0.0483;4.7;192.690;2.500;4.376;0.000;1.346;0.059;0.080;0.000;0.000;0.0000;4.376;4.385;3;17.50;1.383;0.06;0.0510
4.40;1.360;0.06;0.0471;4.7;193.090;2.500;4.264;0.000;1.360;0.058;0.080;0.000;0.000;0.0000;4.264;4.288;3;17.50;1.374;0.06;0.0490
4.41;1.370;0.06;0.0455;4.7;193.490;2.500;4.161;0.000;1.370;0.057;0.080;0.000;0.000;0.0000;4.161;4.169;3;17.50;1.387;0.06;0.0475
4.42;1.376;0.06;0.0437;4.7;193.890;2.500;4.070;0.000;1.376;0.056;0.080;0.000;0.000;0.0000;4.070;4.038;3;17.50;1.391;0.06;0.0457
4.43;1.379;0.06;0.0418;4.7;194.290;2.500;3.996;0.000;1.379;0.055;0.081;0.000;0.000;0.0000;3.996;3.960;3;17.50;1.421;0.05;0.0415
4.44;1.379;0.05;0.0402;4.7;194.700;2.439;3.938;0.000;1.379;0.054;0.081;0.000;0.000;0.0000;3.938;3.809;3;17.50;1.378;0.05;0.0326
4.45;1.375;0.05;0.0388;4.7;195.090;2.564;3.899;0.000;1.375;0.054;0.081;0.000;0.000;0.0000;3.899;3.888;3;18.00;1.387;0.05;0.0339
4.46;1.369;0.05;0.0379;4.7;195.490;2.500;3.877;0.000;1.369;0.053;0.081;0.000;0.000;0.0000;3.877;3.841;3;18.00;1.383;0.05;0.0343
4.47;1.361;0.05;0.0374;4.7;195.870;2.632;3.871;0.000;1.361;0.053;0.081;0.000;0.000;0.0000;3.871;3.795;3;18.00;1.378;0.05;0.0355
4.48;1.352;0.05;0.0371;4.7;196.250;2.632;3.876;0.000;1.352;0.052;0.081;0.000;0.000;0.0000;3.876;3.753;3;18.00;1.357;0.05;0.0382
4.49;1.343;0.05;0.0370;4.7;196.650;2.500;3.891;0.000;1.343;0.052;0.082;0.000;0.000;0.0000;3.891;3.870;3;17.50;1.322;0.05;0.0393
4.50;1.335;0.05;0.0370;4.7;197.060;2.439;3.911;0.000;1.335;0.052;0.082;0.000;0.000;0.0000;3.911;3.957;3;17.50;1.310;0.05;0.0400
4.51;1.327;0.05;0.0373;4.7;197.460;2.500;3.934;0.000;1.327;0.052;0.082;0.000;0.000;0.0000;3.934;3.916;3;17.50;1.318;0.05;0.0375
4.52;1.321;0.05;0.0377;4.7;197.840;2.632;3.958;0.000;1.321;0.052;0.082;0.000;0.000;0.0000;3.958;3.957;3;17.50;1.327;0.05;0.0340
4.53;1.317;0.05;0.0383;4.7;198.240;2.500;3.979;0.000;1.317;0.052;0.082;0.000;0.000;0.0000;3.979;3.933;3;17.50;1.322;0.05;0.0331
4.54;1.314;0.05;0.0393;4.7;198.640;2.500;3.996;0.000;1.314;0.052;0.083;0.000;0.000;0.0000;3.996;3.927;3;17.50;1.305;0.05;0.0361
4.55;1.312;0.05;0.0406;4.7;199.030;2.564;4.005;0.000;1.312;0.053;0.083;0.000;0.000;0.0000;4.005;4.079;3;17.50;1.292;0.05;0.0382
4.56;1.313;0.05;0.0422;4.7;199.430;2.500;4.005;0.000;1.313;0.053;0.083;0.000;0.000;0.0000;4.005;4.071;3;17.50;1.301;0.05;0.0403
4.57;1.316;0.05;0.0440;4.7;199.830;2.500;3.992;0.000;1.316;0.053;0.083;0.000;0.000;0.0000;3.992;4.036;3;17.50;1.305;0.05;0.0446
4.58;1.322;0.05;0.0458;4.7;200.230;2.500;3.964;0.000;1.322;0.052;0.083;0.000;0.000;0.0000;3.964;3.998;3;17.50;1.314;0.05;0.0486
4.59;1.330;0.05;0.0476;4.7;200.620;2.564;3.920;0.000;1.330;0.052;0.083;0.000;0.000;0.0000;3.920;3.975;3;17.50;1.310;0.05;0.0509
4.60;1.340;0.05;0.0493;4.7;201.010;2.564;3.860;0.000;1.340;0.052;0.084;0.000;0.000;0.0000;3.860;3.940;4;18.00;1.318;0.05;0.0513
4.61;1.353;0.05;0.0509;4.7;201.420;2.439;3.789;0.000;1.353;0.051;0.084;0.000;0.000;0.0000;3.789;3.857;4;18.00;1.335;0.05;0.0500
4.62;1.367;0.05;0.0524;4.7;201.820;2.500;3.710;0.000;1.367;0.051;0.084;0.000;0.000;0.0000;3.710;3.694;4;18.00;1.365;0.05;0.0497
4.63;1.381;0.05;0.0539;4.7;202.230;2.439;3.630;0.000;1.381;0.050;0.084;0.000;0.000;0.0000;3.630;3.558;4;18.00;1.383;0.05;0.0511
4.64;1.395;0.05;0.0553;4.7;202.630;2.500;3.552;0.000;1.395;0.050;0.084;0.000;0.000;0.0000;3.552;3.547;4;18.00;1.409;0.05;0.0570
4.65;1.407;0.05;0.0565;4.7;203.020;2.564;3.482;0.000;1.407;0.049;0.084;0.000;0.000;0.0000;3.482;3.474;4;18.00;1.430;0.05;0.0588
4.66;1.418;0.05;0.0576;4.7;203.400;2.632;3.422;0.000;1.418;0.049;0.085;0.000;0.000;0.0000;3.422;3.405;4;18.00;1.443;0.05;0.0596
4.67;1.425;0.05;0.0584;4.7;203.800;2.500;3.374;0.000;1.425;0.048;0.085;0.000;0.000;0.0000;3.374;3.363;4;18.00;1.443;0.05;0.0612
4.68;1.430;0.05;0.0590;4.7;204.200;2.500;3.338;0.000;1.430;0.048;0.085;0.000;0.000;0.0000;3.338;3.272;4;18.00;1.439;0.05;0.0613
4.69;1.432;0.05;0.0594;4.7;204.600;2.500;3.316;0.000;1.432;0.048;0.085;0.000;0.000;0.0000;3.316;3.284;4;18.00;1.434;0.05;0.0598
4.70;1.433;0.05;0.0596;4.7;205.000;2.500;3.306;0.000;1.433;0.047;0.085;0.000;0.000;0.0000;3.306;3.284;4;18.00;1.443;0.05;0.0597
4.71;1.431;0.05;0.0598;4.7;205.400;2.500;3.307;0.000;1.431;0.047;0.086;0.000;0.000;0.0000;3.307;3.295;4;18.00;1.443;0.05;0.0580
4.72;1.430;0.05;0.0600;4.7;205.800;2.500;3.315;0.000;1.430;0.047;0.086;0.000;0.000;0.0000;3.315;3.230;4;18.00;1.439;0.05;0.0589
4.73;1.428;0.05;0.0602;4.7;206.180;2.632;3.326;0.000;1.428;0.048;0.086;0.000;0.000;0.0000;3.326;3.287;4;18.00;1.426;0.05;0.0602
4.74;1.429;0.05;0.0604;4.7;206.580;2.500;3.335;0.000;1.429;0.048;0.086;0.000;0.000;0.0000;3.335;3.311;4;18.00;1.426;0.05;0.0598
4.75;1.432;0.05;0.0604;4.7;206.960;2.632;3.337;0.000;1.432;0.048;0.086;0.000;0.000;0.0000;3.337;3.296;4;18.00;1.400;0.05;0.0595
4.76;1.437;0.05;0.0603;4.7;207.360;2.500;3.330;0.000;1.437;0.048;0.086;0.000;0.000;0.0000;3.330;3.444;4;18.00;1.378;0.05;0.0631
4.77;1.443;0.05;0.0599;4.7;207.760;2.500;3.314;0.000;1.443;0.048;0.087;0.000;0.000;0.0000;3.314;3.449;4;18.00;1.383;0.05;0.0638
4.78;1.450;0.05;0.0594;4.7;208.170;2.439;3.293;0.000;1.450;0.048;0.087;0.000;0.000;0.0000;3.293;3.375;4;18.00;1.456;0.05;0.0629
4.79;1.454;0.05;0.0587;4.7;208.550;2.632;3.271;0.000;1.454;0.048;0.087;0.000;0.000;0.0000;3.271;3.315;4;18.00;1.512;0.05;0.0620
4.80;1.456;0.05;0.0579;4.7;208.940;2.564;3.252;0.000;1.456;0.047;0.087;0.000;0.000;0.0000;3.252;3.150;4;18.00;1.615;0.05;0.0592
4.81;1.454;0.05;0.0574;4.7;209.340;2.500;3.239;0.000;1.454;0.047;0.087;0.000;0.000;0.0000;3.239;3.083;4;18.00;1.486;0.04;0.0507
4.82;1.449;0.05;0.0571;4.7;209.730;2.564;3.229;0.000;1.449;0.047;0.088;0.000;0.000;0.0000;3.229;3.297;4;18.00;1.417;0.05;0.0472
4.83;1.443;0.05;0.0572;4.7;210.130;2.500;3.219;0.000;1.443;0.046;0.088;0.000;0.000;0.0000;3.219;3.387;4;18.00;1.387;0.05;0.0541
4.84;1.436;0.05;0.0577;4.7;210.520;2.564;3.202;0.000;1.436;0.046;0.088;0.000;0.000;0.0000;3.202;3.252;4;18.00;1.404;0.05;0.0585
4.85;1.432;0.05;0.0585;4.7;210.920;2.500;3.174;0.000;1.432;0.045;0.088;0.000;0.000;0.0000;3.174;3.205;4;18.00;1.417;0.05;0.0593
4.86;1.431;0.04;0.0594;4.7;211.320;2.500;3.131;0.000;1.431;0.045;0.088;0.000;0.000;0.0000;3.131;3.159;4;18.00;1.413;0.05;0.0603
4.87;1.434;0.04;0.0603;4.7;211.730;2.439;3.075;0.000;1.434;0.044;0.088;0.000;0.000;0.0000;3.075;3.101;5;18.00;1.417;0.04;0.0619
4.88;1.440;0.04;0.0611;4.7;212.130;2.500;3.008;0.000;1.440;0.043;0.089;0.000;0.000;0.0000;3.008;2.984;5;18.00;1.430;0.04;0.0627
4.89;1.450;0.04;0.0617;4.7;212.530;2.500;2.934;0.000;1.450;0.043;0.089;0.000;0.000;0.0000;2.934;2.918;5;18.00;1.443;0.04;0.0632
4.90;1.462;0.04;0.0622;4.7;212.930;2.500;2.858;0.000;1.462;0.042;0.089;0.000;0.000;0.0000;2.858;2.833;5;18.00;1.452;0.04;0.0629
4.91;1.476;0.04;0.0625;4.7;213.340;2.439;2.783;0.000;1.476;0.041;0.089;0.000;0.000;0.0000;2.783;2.746;5;18.00;1.460;0.04;0.0629
4.92;1.492;0.04;0.0626;4.7;213.740;2.500;2.713;0.000;1.492;0.040;0.089;0.000;0.000;0.0000;2.713;2.716;5;18.00;1.477;0.04;0.0626
4.93;1.509;0.04;0.0626;4.7;214.130;2.564;2.652;0.000;1.509;0.040;0.090;0.000;0.000;0.0000;2.652;2.593;5;18.00;1.508;0.04;0.0627
4.94;1.526;0.04;0.0624;4.7;214.530;2.500;2.602;0.000;1.526;0.040;0.090;0.000;0.000;0.0000;2.602;2.509;5;18.00;1.525;0.04;0.0633
4.95;1.543;0.04;0.0622;4.7;214.930;2.500;2.565;0.000;1.543;0.040;0.090;0.000;0.000;0.0000;2.565;2.479;5;18.00;1.551;0.04;0.0636
4.96;1.560;0.04;0.0619;4.7;215.330;2.500;2.542;0.000;1.560;0.040;0.090;0.000;0.000;0.0000;2.542;2.412;5;18.00;1.585;0.04;0.0642
4.97;1.575;0.04;0.0616;4.7;215.720;2.564;2.534;0.000;1.575;0.040;0.090;0.000;0.000;0.0000;2.534;2.512;5;18.00;1.581;0.04;0.0564
4.98;1.588;0.04;0.0614;4.7;216.120;2.500;2.542;0.000;1.588;0.040;0.090;0.000;0.000;0.0000;2.542;2.506;5;18.00;1.585;0.04;0.0644
4.99;1.598;0.04;0.0613;4.7;216.520;2.500;2.568;0.000;1.598;0.041;0.091;0.000;0.000;0.0000;2.568;2.558;5;18.00;1.607;0.04;0.0617
5.00;1.605;0.04;0.0614;4.7;216.920;2.500;2.612;0.000;1.605;0.042;0.091;0.000;0.000;0.0000;2.612;2.547;5;18.00;1.624;0.04;0.0593
5.01;1.607;0.04;0.0619;4.7;217.310;2.564;2.676;0.000;1.607;0.043;0.091;0.000;0.000;0.0000;2.676;2.597;5;18.00;1.641;0.04;0.0585
5.02;1.605;0.04;0.0628;4.7;217.710;2.500;2.762;0.000;1.605;0.044;0.091;0.000;0.000;0.0000;2.762;2.608;5;18.00;1.645;0.04;0.0571
5.03;1.597;0.05;0.0639;4.7;218.100;2.564;2.868;0.000;1.597;0.046;0.091;0.000;0.000;0.0000;2.868;2.782;5;18.00;1.637;0.04;0.0601
5.04;1.585;0.05;0.0653;4.7;218.490;2.564;2.990;0.000;1.585;0.047;0.092;0.000;0.000;0.0000;2.990;2.909;5;18.00;1.615;0.05;0.0654
5.05;1.570;0.05;0.0667;4.7;218.890;2.500;3.123;0.000;1.570;0.049;0.092;0.000;0.000;0.0000;3.123;3.165;5;18.00;1.594;0.05;0.0674
5.06;1.552;0.05;0.0681;4.7;219.290;2.500;3.257;0.000;1.552;0.051;0.092;0.000;0.000;0.0000;3.257;3.322;4;18.00;1.555;0.05;0.0725
5.07;1.532;0.05;0.0693;4.7;219.690;2.500;3.383;0.000;1.532;0.052;0.092;0.000;0.000;0.0000;3.383;3.601;4;18.00;1.508;0.06;0.0745
5.08;1.513;0.05;0.0704;4.7;220.080;2.564;3.494;0.000;1.513;0.053;0.092;0.000;0.000;0.0000;3.494;3.740;4;18.00;1.486;0.06;0.0736
5.09;1.494;0.05;0.0712;4.7;220.480;2.500;3.585;0.000;1.494;0.054;0.092;0.000;0.000;0.0000;3.585;3.794;4;18.00;1.465;0.06;0.0699
5.10;1.477;0.05;0.0720;4.7;220.870;2.564;3.656;0.000;1.477;0.054;0.093;0.000;0.000;0.0000;3.656;3.753;4;18.00;1.482;0.06;0.0696
5.11;1.460;0.05;0.0728;4.7;221.250;2.632;3.709;0.000;1.460;0.054;0.093;0.000;0.000;0.0000;3.709;3.674;4;18.00;1.477;0.05;0.0699
5.12;1.444;0.05;0.0736;4.7;221.650;2.500;3.748;0.000;1.444;0.054;0.093;0.000;0.000;0.0000;3.748;3.630;4;18.00;1.456;0.05;0.0723
5.13;1.430;0.05;0.0745;4.7;222.060;2.439;3.774;0.000;1.430;0.054;0.093;0.000;0.000;0.0000;3.774;3.684;4;18.00;1.439;0.05;0.0736
5.14;1.418;0.05;0.0753;4.7;222.460;2.500;3.785;0.000;1.418;0.054;0.093;0.000;0.000;0.0000;3.785;3.847;4;18.00;1.409;0.05;0.0763
